treatment,hpf,status,fitted_count
control,14,n_typical,20.04587155963302
control,14,n_uncertain,1.5041169860979913
control,14,n_malformed,1.4602264972904386
control,4,n_typical,27.825910931174093
control,4,n_uncertain,0.7036380047362615
control,4,n_malformed,0.467403286401887
control,9,n_typical,14.695312499999998
control,9,n_uncertain,3.155900962281502
control,9,n_malformed,1.1129697811436743
high,14,n_typical,11.612903225806448
high,14,n_uncertain,2.5048832585017977
high,14,n_malformed,0.8769618859342259
high,4,n_typical,20.73305084745763
high,4,n_uncertain,0.0890594539128395
high,4,n_malformed,0.18334153853743596
high,9,n_typical,15.537190082644628
high,9,n_uncertain,3.569015455486021
high,9,n_malformed,1.0995524833609163
low,14,n_typical,12.768595041322312
low,14,n_uncertain,1.4753074619942814
low,14,n_malformed,0.6641739006995077
low,4,n_typical,25.511811023622045
low,4,n_uncertain,0.6420972205660723
low,4,n_malformed,0.8082374211392341
low,9,n_typical,20.99999999999999
low,9,n_uncertain,4.500338966974988
low,9,n_malformed,2.436376881956229
mid,14,n_typical,18.149999999999995
mid,14,n_uncertain,1.0717815643061455
mid,14,n_malformed,1.9913933608333627
mid,4,n_typical,29.477678571428566
mid,4,n_uncertain,0.41882426705002224
mid,4,n_malformed,1.1791788418684763
mid,9,n_typical,11.496350364963504
mid,9,n_uncertain,1.9464706320873222
mid,9,n_malformed,1.5902079120889154
control,14,n_typical,8.715596330275229
control,14,n_uncertain,0.6539639069991268
control,14,n_malformed,0.6348810857784517
control,4,n_typical,22.068825910931174
control,4,n_uncertain,0.5580577278942763
control,4,n_malformed,0.37069915818080684
control,9,n_typical,3.0937499999999996
control,9,n_uncertain,0.6644002025855794
control,9,n_malformed,0.2343094276091946
high,14,n_typical,6.96774193548387
high,14,n_uncertain,1.5029299551010789
high,14,n_malformed,0.5261771315605356
high,4,n_typical,24.682203389830505
high,4,n_uncertain,0.106023159420047
high,4,n_malformed,0.21826373635409038
high,9,n_typical,4.661157024793388
high,9,n_uncertain,1.0707046366458064
high,9,n_malformed,0.3298657450082749
low,14,n_typical,6.809917355371899
low,14,n_uncertain,0.78683064639695
low,14,n_malformed,0.35422608037307074
low,4,n_typical,19.842519685039367
low,4,n_uncertain,0.4994089493291673
low,4,n_malformed,0.6286291053305154
low,9,n_typical,6.750000000000001
low,9,n_uncertain,1.4465375250991037
low,9,n_malformed,0.7831211406287881
mid,14,n_typical,2.5928571428571425
mid,14,n_uncertain,0.15311165204373509
mid,14,n_malformed,0.28448476583333754
mid,4,n_typical,22.82142857142857
mid,4,n_uncertain,0.32425104545808175
mid,4,n_malformed,0.9129126517691429
mid,9,n_typical,9.197080291970803
mid,9,n_uncertain,1.5571765056698579
mid,9,n_malformed,1.2721663296711325
control,14,n_typical,6.10091743119266
control,14,n_uncertain,0.4577747348993886
control,14,n_malformed,0.4444167600449161
control,4,n_typical,31.663967611336034
control,4,n_uncertain,0.8006915226309181
control,4,n_malformed,0.5318727052159403
control,9,n_typical,10.054687499999996
control,9,n_uncertain,2.1593006584031333
control,9,n_malformed,0.7615056397298825
high,14,n_typical,1.548387096774193
high,14,n_uncertain,0.3339844344669064
high,14,n_malformed,0.11692825145789679
high,4,n_typical,29.618644067796613
high,4,n_uncertain,0.12722779130405643
high,4,n_malformed,0.26191648362490855
high,9,n_typical,6.991735537190083
high,9,n_uncertain,1.60605695496871
high,9,n_malformed,0.49479861751241244
low,14,n_typical,2.5537190082644625
low,14,n_uncertain,0.2950614923988563
low,14,n_malformed,0.13283478013990152
low,4,n_typical,18.897637795275585
low,4,n_uncertain,0.4756275707896831
low,4,n_malformed,0.5986943860290622
mid,14,n_typical,12.964285714285712
mid,14,n_uncertain,0.7655582602186753
mid,14,n_malformed,1.4224238291666877
mid,4,n_typical,26.62499999999999
mid,4,n_uncertain,0.378292886367762
mid,4,n_malformed,1.065064760397333
mid,9,n_typical,3.0656934306569332
mid,9,n_uncertain,0.5190588352232859
mid,9,n_malformed,0.4240554432237108
control,14,n_typical,8.715596330275229
control,14,n_uncertain,0.6539639069991268
control,14,n_malformed,0.6348810857784517
control,4,n_typical,28.785425101214578
control,4,n_uncertain,0.7279013842099257
control,4,n_malformed,0.48352064110540033
control,9,n_typical,13.148437500000004
control,9,n_uncertain,2.823700860988713
control,9,n_malformed,0.9958150673390772
high,14,n_typical,7.741935483870967
high,14,n_uncertain,1.669922172334532
high,14,n_malformed,0.584641257289484
high,4,n_typical,24.682203389830505
high,4,n_uncertain,0.106023159420047
high,4,n_malformed,0.21826373635409038
high,9,n_typical,3.107438016528925
high,9,n_uncertain,0.7138030910972043
high,9,n_malformed,0.21991049667218326
low,14,n_typical,12.768595041322312
low,14,n_uncertain,1.4753074619942814
low,14,n_malformed,0.6641739006995077
low,4,n_typical,32.125984251968504
low,4,n_uncertain,0.8085668703424616
low,4,n_malformed,1.0177804562494062
low,9,n_typical,4.499999999999999
low,9,n_uncertain,0.964358350066069
low,9,n_malformed,0.5220807604191919
mid,14,n_typical,12.964285714285712
mid,14,n_uncertain,0.7655582602186753
mid,14,n_malformed,1.4224238291666877
mid,4,n_typical,25.67410714285714
mid,4,n_uncertain,0.36478242614034195
mid,4,n_malformed,1.0270267332402858
mid,9,n_typical,7.664233576642338
mid,9,n_uncertain,1.2976470880582152
mid,9,n_malformed,1.0601386080592772
control,14,n_typical,8.715596330275229
control,14,n_uncertain,0.6539639069991268
control,14,n_malformed,0.6348810857784517
control,4,n_typical,24.947368421052637
control,4,n_uncertain,0.6308478663152689
control,4,n_malformed,0.41905122229134695
control,9,n_typical,1.5468749999999998
control,9,n_uncertain,0.3322001012927897
control,9,n_malformed,0.11715471380459731
high,14,n_typical,2.32258064516129
high,14,n_uncertain,0.5009766517003595
high,14,n_malformed,0.17539237718684517
high,4,n_typical,25.669491525423734
high,4,n_uncertain,0.1102640857968489
high,4,n_malformed,0.22699428580825406
high,9,n_typical,11.652892561983473
high,9,n_uncertain,2.6767615916145164
high,9,n_malformed,0.8246643625206873
low,14,n_typical,14.471074380165287
low,14,n_uncertain,1.6720151235935192
low,14,n_malformed,0.7527304207927755
low,4,n_typical,28.346456692913385
low,4,n_uncertain,0.7134413561845248
low,4,n_malformed,0.8980415790435935
low,9,n_typical,10.499999999999995
low,9,n_uncertain,2.2501694834874937
low,9,n_malformed,1.2181884409781143
mid,14,n_typical,12.099999999999994
mid,14,n_uncertain,0.7145210428707635
mid,14,n_malformed,1.3275955738889083
mid,4,n_typical,24.72321428571428
mid,4,n_uncertain,0.35127196591292187
mid,4,n_malformed,0.9889887060832382
mid,9,n_typical,11.496350364963504
mid,9,n_uncertain,1.9464706320873222
mid,9,n_malformed,1.5902079120889154
control,14,n_typical,14.816513761467887
control,14,n_uncertain,1.1117386418985153
control,14,n_malformed,1.0792978458233677
control,4,n_typical,30.70445344129555
control,4,n_uncertain,0.776428143157254
control,4,n_malformed,0.5157553505124269
control,9,n_typical,10.828124999999995
control,9,n_uncertain,2.3254007090495277
control,9,n_malformed,0.820082996632181
high,14,n_typical,10.838709677419349
high,14,n_uncertain,2.337891041268344
high,14,n_malformed,0.8184977602052772
high,4,n_typical,26.65677966101695
high,4,n_uncertain,0.11450501217365078
high,4,n_malformed,0.2357248352624177
high,9,n_typical,17.867768595041316
high,9,n_uncertain,4.104367773808925
high,9,n_malformed,1.2644853558650537
low,14,n_typical,13.619834710743799
low,14,n_uncertain,1.5736612927939002
low,14,n_malformed,0.7084521607461415
low,4,n_typical,32.125984251968504
low,4,n_uncertain,0.8085668703424616
low,4,n_malformed,1.0177804562494062
low,9,n_typical,14.999999999999993
low,9,n_uncertain,3.2145278335535625
low,9,n_malformed,1.7402692013973062
mid,14,n_typical,7.7785714285714285
mid,14,n_uncertain,0.4593349561312053
mid,14,n_malformed,0.8534542975000128
mid,4,n_typical,16.16517857142857
mid,4,n_uncertain,0.22967782386614125
mid,4,n_malformed,0.6466464616698095
mid,9,n_typical,21.459854014598537
mid,9,n_uncertain,3.6334118465630008
mid,9,n_malformed,2.9683881025659753
control,14,n_typical,6.10091743119266
control,14,n_uncertain,0.4577747348993886
control,14,n_malformed,0.4444167600449161
control,4,n_typical,23.98785425101214
control,4,n_uncertain,0.6065844868416046
control,4,n_malformed,0.4029338675878335
control,9,n_typical,10.054687499999996
control,9,n_uncertain,2.1593006584031333
control,9,n_malformed,0.7615056397298825
high,14,n_typical,7.741935483870967
high,14,n_uncertain,1.669922172334532
high,14,n_malformed,0.584641257289484
high,4,n_typical,30.605932203389834
high,4,n_uncertain,0.1314687176808583
high,4,n_malformed,0.2706470330790721
low,14,n_typical,12.768595041322312
low,14,n_uncertain,1.4753074619942814
low,14,n_malformed,0.6641739006995077
low,4,n_typical,24.566929133858267
low,4,n_uncertain,0.6183158420265882
low,4,n_malformed,0.778302701837781
low,9,n_typical,3.749999999999999
low,9,n_uncertain,0.8036319583883907
low,9,n_malformed,0.4350673003493266
mid,14,n_typical,10.37142857142857
mid,14,n_uncertain,0.6124466081749403
mid,14,n_malformed,1.1379390633333502
mid,4,n_typical,27.575892857142854
mid,4,n_uncertain,0.3918033465951821
mid,4,n_malformed,1.103102787554381
mid,9,n_typical,9.197080291970803
mid,9,n_uncertain,1.5571765056698579
mid,9,n_malformed,1.2721663296711325
control,14,n_typical,5.229357798165137
control,14,n_uncertain,0.3923783441994759
control,14,n_malformed,0.38092865146707094
control,4,n_typical,25.90688259109312
control,4,n_uncertain,0.6551112457889331
control,4,n_malformed,0.4351685769948603
control,9,n_typical,20.882812500000004
control,9,n_uncertain,4.4847013674526615
control,9,n_malformed,1.5815886363620637
high,14,n_typical,11.612903225806448
high,14,n_uncertain,2.5048832585017977
high,14,n_malformed,0.8769618859342259
high,4,n_typical,24.682203389830505
high,4,n_uncertain,0.106023159420047
high,4,n_malformed,0.21826373635409038
high,9,n_typical,17.867768595041316
high,9,n_uncertain,4.104367773808925
high,9,n_malformed,1.2644853558650537
low,14,n_typical,17.876033057851238
low,14,n_uncertain,2.065430446791994
low,14,n_malformed,0.9298434609793108
low,4,n_typical,28.346456692913385
low,4,n_uncertain,0.7134413561845248
low,4,n_malformed,0.8980415790435935
low,9,n_typical,19.499999999999996
low,9,n_uncertain,4.178886183619633
low,9,n_malformed,2.262349961816499
mid,14,n_typical,22.471428571428568
mid,14,n_uncertain,1.326967651045704
mid,14,n_malformed,2.465534637222259
mid,4,n_typical,19.968749999999996
mid,4,n_uncertain,0.2837196647758215
mid,4,n_malformed,0.798798570298
mid,9,n_typical,19.927007299270073
mid,9,n_uncertain,3.373882428951359
mid,9,n_malformed,2.7563603809541206
control,14,n_typical,16.559633027522928
control,14,n_uncertain,1.2425314232983404
control,14,n_malformed,1.2062740629790578
control,4,n_typical,21.109311740890693
control,4,n_uncertain,0.5337943484206122
control,4,n_malformed,0.3545818034772936
control,9,n_typical,14.695312499999998
control,9,n_uncertain,3.155900962281502
control,9,n_malformed,1.1129697811436743
high,14,n_typical,11.612903225806448
high,14,n_uncertain,2.5048832585017977
high,14,n_malformed,0.8769618859342259
high,4,n_typical,25.669491525423734
high,4,n_uncertain,0.1102640857968489
high,4,n_malformed,0.22699428580825406
high,9,n_typical,16.31404958677686
high,9,n_uncertain,3.747466228260323
high,9,n_malformed,1.1545301075289622
low,14,n_typical,9.363636363636363
low,14,n_uncertain,1.0818921387958065
low,14,n_malformed,0.48706086051297237
low,4,n_typical,30.23622047244094
low,4,n_uncertain,0.761004113263493
low,4,n_malformed,0.9579110176464997
low,9,n_typical,11.999999999999995
low,9,n_uncertain,2.57162226684285
low,9,n_malformed,1.3922153611178452
mid,14,n_typical,21.607142857142847
mid,14,n_uncertain,1.275930433697792
mid,14,n_malformed,2.370706381944479
mid,4,n_typical,19.968749999999996
mid,4,n_uncertain,0.2837196647758215
mid,4,n_malformed,0.798798570298
mid,9,n_typical,11.496350364963504
mid,9,n_uncertain,1.9464706320873222
mid,9,n_malformed,1.5902079120889154
